slug,rank,name,symbol,logo,description,website,whitepaper,twitter,telegram,discord,explorer,confirmed
bitcoin,1,Bitcoin,BTC,"""bitcoin-logo.png""",,https://bitcoin.org/,https://bitcoin.org/bitcoin.pdf,,,,https://blockchain.info/,1
ethereum,2,Ethereum,ETH,"""ethereum-logo.png""",,https://www.ethereum.org/,https://github.com/ethereum/wiki/wiki/White-Paper,https://twitter.com/ethereum,,,https://etherscan.io/,1
tether,3,Tether,USDT,"""tether-logo.png""",,,,,,,https://www.omniexplorer.info/asset/31,1
binance-coin,4,BNB,BNB,"""binance-coin-logo.png""",,https://bnbchain.org/en,,https://twitter.com/bnbchain,https://t.me/bnbchain,,https://etherscan.io/token/0xB8c77482e45F1F44dE1745F52C74426C631bDD52,1
solana,5,Solana,SOL,"""solana-logo.png""",,https://solana.com,https://solana.com/solana-whitepaper.pdf,https://twitter.com/solana,https://t.me/solana,,https://explorer.solana.com/,1
usd-coin,6,USDC,USDC,"""usd-coin-logo.png""",,https://www.centre.io/usdc,https://f.hubspotusercontent30.net/hubfs/9304636/PDF/centre-whitepaper.pdf,https://twitter.com/circle,,,https://etherscan.io/token/0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,1
xrp,7,XRP,XRP,"""xrp-logo.png""",,https://xrpl.org/,https://ripple.com/files/ripple_consensus_whitepaper.pdf,https://twitter.com/Ripple,,,https://xrpcharts.ripple.com/#/graph/,1
dogecoin,8,Dogecoin,DOGE,"""dogecoin-logo.png""",,http://dogecoin.com/,https://github.com/dogecoin/dogecoin/blob/master/README.md,https://twitter.com/dogecoin,,,http://dogechain.info/chain/Dogecoin,1
cardano,9,Cardano,ADA,"""cardano-logo.png""",,https://www.cardano.org,https://docs.cardano.org/en/latest/,https://twitter.com/cardano,https://t.me/Cardano,,https://cardanoexplorer.com/,1
shiba-inu,10,Shiba Inu,SHIB,"""shiba-inu-logo.png""",,https://shibatoken.com/,https://github.com/shytoshikusama/woofwoofpaper/raw/main/SHIBA_INU_WOOF_WOOF.pdf,https://twitter.com/shibtoken,https://t.me/ShibaInu_Dogecoinkiller,https://discord.com/invite/shibatoken,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,1
avalanche,11,Avalanche,AVAX,"""avalanche-logo.png""",,https://avax.network/,https://www.avalabs.org/whitepapers,https://twitter.com/Avax,https://t.me/avalancheavax,,https://avascan.info/,1
wrapped-bitcoin,12,Wrapped Bitcoin,WBTC,"""wrapped-bitcoin-logo.png""",,https://wbtc.network,https://www.wbtc.network/assets/wrapped-tokens-whitepaper.pdf,https://twitter.com/WrappedBTC,,,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,1
chainlink,13,Chainlink,LINK,"""chainlink-logo.png""",,https://chain.link/,https://chain.link/whitepaper,https://twitter.com/chainlink,https://t.me/chainlinkofficial,,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca,1
tron,14,TRON,TRX,"""tron-logo.png""",,https://trondao.org/,https://developers.tron.network/docs,https://twitter.com/trondao,http://t.me/tronnetworkEN,,https://tronscan.org/#/,1
polkadot,15,Polkadot,DOT,"""polkadot-logo.png""",,https://polkadot.network/,https://polkadot.network/PolkaDotPaper.pdf,https://twitter.com/Polkadot,https://t.me/PolkadotOfficial,,https://polkascan.io/polkadot,1
bitcoin-cash,16,Bitcoin Cash,BCH,"""bitcoin-cash-logo.png""",,http://bch.info,,,,,https://blockchair.com/bitcoin-cash/blocks,1
near-protocol,17,NEAR Protocol,NEAR,"""near-protocol-logo.png""",,https://near.org/,https://near.org/papers/the-official-near-white-paper,https://twitter.com/NEARProtocol,https://t.me/cryptonear,,https://explorer.nearprotocol.com/,1
polygon,18,Polygon,MATIC,"""polygon-logo.png""",,https://polygon.technology/,https://github.com/maticnetwork/whitepaper/,https://twitter.com/0xPolygon,https://t.me/polygonofficial,,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,1
litecoin,19,Litecoin,LTC,"""litecoin-logo.png""",,https://litecoin.org/,,https://twitter.com/litecoin,,,http://explorer.litecoin.net/chain/Litecoin,1
uniswap,20,Uniswap,UNI,"""uniswap-logo.png""",,https://uniswap.org/blog/uni/,,https://twitter.com/Uniswap,,,https://etherscan.io/token/0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,1
internet-computer,21,Internet Computer,ICP,"""internet-computer-logo.png""",,https://internetcomputer.org/,https://internetcomputer.org/whitepaper.pdf,https://twitter.com/dfinity,,,https://www.dfinityexplorer.org/#/,1
unus-sed-leo,22,UNUS SED LEO,LEO,"""unus-sed-leo-logo.png""",,https://www.bitfinex.com/,https://www.bitfinex.com/wp-2019-05.pdf,https://twitter.com/bitfinex,https://t.me/bfxtelegram,,https://eospark.com/account/bitfinexleo1,1
multi-collateral-dai,23,Multi Collateral DAI,DAI,"""multi-collateral-dai-logo.png""",,,,,,,https://etherscan.io/token/0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,1
ethereum-classic,24,Ethereum Classic,ETC,"""ethereum-classic-logo.png""",,https://ethereumclassic.org/,,https://twitter.com/eth_classic,,https://discord.com/invite/hQs894U,http://gastracker.io/,1
render-token,25,Render Token,RNDR,"""render-token-logo.png""",,,,,,,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24,1
filecoin,26,Filecoin,FIL,"""filecoin-logo.png""",,https://filecoin.io/,https://docs.filecoin.io/,https://twitter.com/Filecoin,,,https://protocol.ai,1
stellar,27,Stellar,XLM,"""stellar-logo.png""",,https://www.stellar.org,https://www.stellar.org/papers/stellar-consensus-protocol.pdf,https://twitter.com/StellarOrg,,,https://dashboard.stellar.org/,1
monero,28,Monero,XMR,"""monero-logo.png""",,https://www.getmonero.org/,https://github.com/monero-project/research-lab/blob/master/whitepaper/whitepaper.pdf,https://twitter.com/monero,,,http://moneroblocks.info/,1
arweave,29,Arweave,AR,"""arweave-logo.png""",,https://www.arweave.org,https://ar-io.net/azo-0qw6bb9u5doGdMR-atcIRV_ylJCV4K4Kwv85GO4,https://twitter.com/ArweaveEco,,,https://viewblock.io/arweave,1
the-graph,30,The Graph,GRT,"""the-graph-logo.png""",,https://thegraph.com,https://thegraph.com/docs/,https://twitter.com/graphprotocol,https://t.me/GraphProtocol,,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7,1
okb,31,OKB,OKB,"""okb-logo.png""",,https://www.okx.com/,,https://twitter.com/okx,https://t.me/okexofficial_en,,https://etherscan.io/token/0x75231f58b43240c9718dd58b4967c5114342a86c,1
stacks,32,Stacks,STX,"""stacks-logo.png""",,https://stacks.co,https://gaia.blockstack.org/hub/1AxyPunHHAHiEffXWESKfbvmBpGQv138Fp/stacks.pdf,https://twitter.com/Stacks,https://t.me/StacksChat,,https://explorer.xinfin.network/,1
crypto-com-coin,33,Crypto.com Coin,CRO,"""crypto-com-coin-logo.png""",,,,,,,https://etherscan.io/token/0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,1
vechain,34,VeChain,VET,"""vechain-logo.png""",,https://www.vechain.org/,https://www.vechain.org/whitepaper/#bit_65sv8,https://twitter.com/vechainofficial,https://t.me/vechain_official_english,,https://explore.veforge.com/,1
maker,35,Maker,MKR,"""maker-logo.png""",,https://makerdao.com/,https://makerdao.com/en/whitepaper/#overview-of-the-dai-stablecoin-system,https://twitter.com/MakerDAO,https://t.me/makerdaoOfficial,,https://etherscan.io/token/Maker,1
fantom,36,Fantom,FTM,"""fantom-logo.png""",,https://fantom.foundation/,https://fantom.foundation/fantom-research-papers/,https://twitter.com/FantomFDN,https://t.me/Fantom_English,,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870,1
theta,37,THETA,THETA,"""theta-logo.png""",,,,,,,https://explorer.thetatoken.org/,1
cosmos,38,Cosmos,ATOM,"""cosmos-logo.png""",,https://cosmos.network/,https://cosmos.network/resources/whitepaper,https://twitter.com/cosmos,https://t.me/cosmosproject,,https://www.mintscan.io/,1
lido-dao,39,Lido DAO,LDO,"""lido-dao-logo.png""",,https://lido.fi/,https://lido.fi/static/Lido:Ethereum-Liquid-Staking.pdf,https://twitter.com/lidofinance,https://t.me/lidofinance,,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32,1
thorchain,40,THORChain,RUNE,"""thorchain-logo.png""",,https://thorchain.org/,https://github.com/thorchain/Resources/tree/master/Whitepapers/THORChain/whitepaper-en.md,https://twitter.com/THORChain,https://t.me/thorchain_org,,https://explorer.binance.org/asset/RUNE-B1A,1
injective-protocol,41,Injective,INJ,"""injective-protocol-logo.png""",,https://injective.com,https://docs.injectiveprotocol.com/#introduction,https://twitter.com/Injective_,https://t.me/joininjective,,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30,1
fetch,42,Fetch.ai,FET,"""fetch-logo.png""",,https://fetch-ai.network/,https://www.dropbox.com/s/gxptsecwdl3jjtn/David%20Minarsch%20-%202021-04-26%2010.34.17%20-%20paper_21_finalversion.pdf?dl=0,https://twitter.com/fetch_ai,,,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd,1
algorand,43,Algorand,ALGO,"""algorand-logo.png""",,http://algorand.foundation,https://www.algorand.com/resources/white-papers,https://twitter.com/AlgoFoundation,https://t.me/AlgorandFoundation,,https://algoexplorer.io/,1
aave,44,Aave,AAVE,"""aave-logo.png""",,https://aave.com/,https://github.com/aave/aave-protocol/blob/master/docs/Aave_Protocol_Whitepaper_v1_0.pdf,https://twitter.com/aave,https://t.me/Aavesome,,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,1
hedera-hashgraph,45,Hedera Hashgraph,HBAR,"""hedera-hashgraph-logo.png""",,,,,,,https://hash-hash.info/,1
gala,46,Gala,GALA,"""gala-logo.png""",,https://gala.com/,,https://twitter.com/GoGalaGames,https://t.me/PoweredByGala,,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick,1
flow,47,Flow,FLOW,"""flow-logo.png""",,https://flow.com,https://www.onflow.org/technical-paper/,https://twitter.com/flow_blockchain,https://t.me/flow_blockchain,,https://flowscan.org/,1
chiliz,48,Chiliz,CHZ,"""chiliz-logo.png""",,https://www.chiliz.com/,,https://twitter.com/chiliz,https://t.me/chiliz_io,,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af,1
bitcoin-sv,49,Bitcoin SV,BSV,"""bitcoin-sv-logo.png""",,https://www.bsvblockchain.org/,,https://twitter.com/BSVBlockchain,,,https://bsvexplorer.io/,1
axie-infinity,50,Axie Infinity,AXS,"""axie-infinity-logo.png""",,https://axieinfinity.com/,https://whitepaper.axieinfinity.com/,https://twitter.com/AxieInfinity,https://t.me/axieinfinity,https://discord.com/invite/axie,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada,1
singularitynet,51,SingularityNET,AGIX,"""singularitynet-logo.png""",,https://singularitynet.io/,https://public.singularitynet.io/whitepaper.pdf,https://twitter.com/singularitynet,https://t.me/singularitynet,,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285,1
quant,52,Quant,QNT,"""quant-logo.png""",,https://quant.network/,,https://twitter.com/quant_network,https://t.me/quantnetworkannouncements,,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675,1
akash-network,53,Akash Network,AKT,"""akash-network-logo.png""",,https://akash.network,,https://twitter.com/akashnet_,https://t.me/akashnw,,https://akash.bigdipper.live/,1
neo,54,Neo,NEO,"""neo-logo.png""",,https://neo.org/,https://docs.neo.org/docs/en-us/index.html,https://twitter.com/neo_blockchain,https://t.me/NEO_EN,,https://neotracker.io,1
the-sandbox,55,The Sandbox,SAND,"""the-sandbox-logo.png""",,https://www.sandbox.game/en/,http://www.sandbox.game/The_Sandbox_Whitepaper_2020.pdf,https://twitter.com/thesandboxgame,https://t.me/sandboxgame,,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0,1
kucoin-token,56,KuCoin Token,KCS,"""kucoin-token-logo.png""",,https://www.kucoin.com/,https://www.kcs.foundation/kcs-whitepaper.pdf,https://twitter.com/kucoincom,,,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811,1
mina,57,Mina,MINA,"""mina-logo.png""",,https://minaprotocol.com/,https://minaprotocol.com/docs,https://twitter.com/MinaProtocol,,https://discord.com/invite/Vexf4ED,https://minaexplorer.com/,1
pendle,58,Pendle,PENDLE,"""pendle-logo.png""",,https://pendle.finance/,https://docs.pendle.finance/resources/lite-paper,https://twitter.com/pendle_fi,,,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827,1
elrond-egld,59,MultiversX,EGLD,"""elrond-egld-logo.png""",,https://multiversx.com/,https://files.multiversx.com/multiversx-whitepaper.pdf,https://twitter.com/MultiversX,https://t.me/MultiversX,,https://explorer.elrond.com/,1
ecash,60,eCash,XEC,"""ecash-logo.png""",,https://e.cash/,,https://twitter.com/eCashOfficial,https://t.me/ecash_official,,https://explorer.bitcoinabc.org/,1
tezos,61,Tezos,XTZ,"""tezos-logo.png""",,https://www.tezos.com/,https://tezos.com/whitepaper.pdf,https://twitter.com/tezos,https://t.me/tezosplatform,https://discord.com/invite/yXaPy6s5Nr,https://tzkt.io/,1
conflux-network,62,Conflux,CFX,"""conflux-network-logo.png""",,https://confluxnetwork.org/,https://confluxnetwork.org/files/Conflux_Economic_Paper_20201230.pdf,https://twitter.com/Conflux_Network,https://t.me/Conflux_English,https://discord.com/invite/conflux-network-707952293412339843,http://www.confluxscan.io/,1
eos,63,EOS,EOS,"""eos-logo.png""",,https://eosnetwork.com/,https://eosnetwork.com/blog/category/eos-blue-papers/,https://twitter.com/EOSNetworkFDN,https://t.me/EOS_Global,,https://bloks.io/,1
